match_id,date,team_a,team_b,team_a_kills,team_b_kills,odds_home,odds_away,closing_odds_home,closing_odds_away,target
M_2419,2020-09-11,Watford,Middlesbrough,1,0,2.0,4.0,1.99,4.12,1
M_2423,2020-09-12,Bournemouth,Blackburn,3,2,1.95,3.9,2.06,3.81,1
M_2420,2020-09-12,Birmingham,Brentford,1,0,4.5,1.8,4.7,1.84,1
M_2421,2020-09-12,Wycombe,Rotherham,0,1,2.8,2.5,2.84,2.58,0
M_2422,2020-09-12,Barnsley,Luton,0,1,2.1,3.6,2.08,3.78,0
M_2424,2020-09-12,Bristol City,Coventry,2,1,2.2,3.4,2.19,3.49,1
M_2425,2020-09-12,Cardiff,Sheffield Weds,0,2,2.05,3.75,2.15,3.79,0
M_2426,2020-09-12,Derby,Reading,0,2,2.05,3.6,2.06,3.79,0
M_2428,2020-09-12,Preston,Swansea,0,1,2.3,3.25,2.38,3.24,0
M_2429,2020-09-12,QPR,Nott'm Forest,2,0,3.0,2.4,3.12,2.45,1
M_2427,2020-09-12,Huddersfield,Norwich,0,1,3.3,2.15,3.56,2.16,0
M_2123,2020-09-12,Crystal Palace,Southampton,1,0,3.1,2.37,3.32,2.4,1
M_2122,2020-09-12,Fulham,Arsenal,0,3,6.0,1.53,6.16,1.56,0
M_2125,2020-09-12,West Ham,Newcastle,0,2,2.15,3.4,2.18,3.5,0
M_2124,2020-09-12,Liverpool,Leeds,4,3,1.28,9.5,1.31,9.92,1
M_2127,2020-09-13,Tottenham,Everton,0,1,1.83,4.33,1.94,4.3,0
M_2126,2020-09-13,West Brom,Leicester,0,3,3.8,1.95,4.0,2.0,0
M_2129,2020-09-14,Sheffield United,Wolves,0,2,3.25,2.37,3.41,2.46,0
M_2128,2020-09-14,Brighton,Chelsea,1,3,5.0,1.61,5.36,1.65,0
M_2430,2020-09-18,Coventry,QPR,3,2,2.4,3.1,2.49,3.08,1
M_2435,2020-09-19,Reading,Barnsley,2,0,2.4,3.0,2.46,3.19,1
M_2436,2020-09-19,Rotherham,Millwall,0,1,2.8,2.7,2.92,2.68,0
M_2132,2020-09-19,Man United,Crystal Palace,1,3,1.3,9.5,1.3,9.8,0
M_2434,2020-09-19,Luton,Derby,2,1,2.7,2.65,2.78,2.76,1
M_2433,2020-09-19,Brentford,Huddersfield,3,0,1.53,7.0,1.57,6.91,1
M_2130,2020-09-19,Everton,West Brom,5,2,1.5,6.5,1.55,6.46,1
M_2131,2020-09-19,Leeds,Fulham,4,3,1.61,5.75,1.65,5.61,1
M_2431,2020-09-19,Nott'm Forest,Cardiff,0,2,2.55,2.9,2.61,2.88,0
M_2133,2020-09-19,Arsenal,West Ham,2,1,1.53,5.5,1.54,6.09,1
M_2432,2020-09-19,Blackburn,Wycombe,5,0,1.57,6.5,1.6,6.41,1
M_2137,2020-09-20,Leicester,Burnley,4,2,1.61,5.5,1.63,5.79,1
M_2134,2020-09-20,Southampton,Tottenham,2,5,3.0,2.37,3.12,2.41,0
M_2135,2020-09-20,Newcastle,Brighton,0,3,2.6,2.87,2.66,2.91,0
M_2136,2020-09-20,Chelsea,Liverpool,0,2,3.1,2.2,3.2,2.19,0
M_2437,2020-09-20,Stoke,Bristol City,0,2,2.0,3.8,1.97,4.22,0
M_2139,2020-09-21,Wolves,Man City,1,3,6.5,1.5,6.27,1.56,0
M_2138,2020-09-21,Aston Villa,Sheffield United,1,0,2.7,2.75,2.77,2.78,1
M_2438,2020-09-25,Huddersfield,Nott'm Forest,1,0,3.0,2.45,3.2,2.52,1
M_2142,2020-09-26,Burnley,Southampton,0,1,3.2,2.3,3.41,2.36,0
M_2141,2020-09-26,Crystal Palace,Everton,1,2,3.75,2.1,3.72,2.17,0
